"caminho","nome do arquivo","extensão","tamanho","hash","origem","formato","tipo","subtipo","objetivo","concurso","cargo","banca","ano","disciplina","assunto","subassunto","título","descrição","capítulos","questões","flashcards","mapas","simulados","leis citadas","data/versão","situação","confiança","evidência","componentes","rota","tabelas","conectado","órfão","duplicado","mock","precisa atualização","revisão humana","ação"
"src/admin/AdminLayout.jsx","AdminLayout.jsx",".jsx","20565","83d279e34df00b2738fc9f676b0e9e7ba3112de29431b18b4ee332c3ec9a7e0a","src","JSX","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","não identificada","","Direito Administrativo","AdminLayout","não identificado","AdminLayout","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; palavras-chave no conteúdo; referenciado por src/admin/index.js, src/App.jsx, src/pages/InternalApp.jsx","src/pages/InternalApp.jsx","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/admin/index.js","index.js",".js","45","f6cb2168941cad2ecc37d17d17a3126ef14a562e0731013677488d9adb15d0fe","src","JS","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","não identificada","","não identificado","index","não identificado","index","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; sem evidência; referenciado por src/ai/AIChat.jsx, src/App.css, src/charts/AppCharts.jsx","src/components/animata/container/Marquee.jsx; src/components/AprovaLoading.jsx; src/components/FAQ.jsx; src/components/HowItWorks.jsx; src/components/landing/Carousel3DSection.jsx","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/ai/AIChat.jsx","AIChat.jsx",".jsx","10382","1d7c51b6283657507b56ee3429c43597467db598f50fc62bc015559592f4d53f","src","JSX","conteúdo não identificado","não identificado","não identificado","plano_de_estudos","não identificado","não identificada","","Direito Penal","AIChat","não identificado","plano_de_estudos","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; palavras-chave no conteúdo; referenciado por src/ai/index.js, src/pages/IA/index.jsx","src/pages/IA/index.jsx","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/ai/index.js","index.js",".js","44","cb248f0ab3b660d9fe52574d162227350539ba8eb7c1e3ec85bf4c505fab691f","src","JS","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","não identificada","","não identificado","index","não identificado","index","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; sem evidência; referenciado por src/ai/AIChat.jsx, src/App.css, src/charts/AppCharts.jsx","src/components/animata/container/Marquee.jsx; src/components/AprovaLoading.jsx; src/components/FAQ.jsx; src/components/HowItWorks.jsx; src/components/landing/Carousel3DSection.jsx","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/ai/tutorPrompt.js","tutorPrompt.js",".js","16461","a00116b79ce0dff1b7d5e7bcf246b4c505426bbc3ee7f18456ca5b009629a09a","src","JS","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","FGV","","Direito Constitucional","tutorPrompt","não identificado","tutorPrompt","","0","0","0","0","14","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; palavras-chave no conteúdo; referenciado por src/services/aiService.js","","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/App.css","App.css",".css","2891","6e25a776d3e8102da5bacb3cb99f4a5fc662a2e01e6143140671a556d28c3d5c","src","CSS","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","não identificada","","não identificado","App","não identificado","App","","0","0","0","0","0","","não identificada","órfão; requer revisão humana","baixa","sem metadados suficientes; sem evidência","","não identificada","","false","true","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/App.jsx","App.jsx",".jsx","2806","7ba08d84f20fe14204595efcc0922126e9d962a036837f2878abc3f73806cc8e","src","JSX","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","não identificada","","Direito Administrativo","App","não identificado","App","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; palavras-chave no conteúdo; referenciado por src/main.jsx","","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/assets/hero.png","hero.png",".png","13057","881ffbcaafc212e49addad08846a5b82761355fa20624253af3477ba33262c5c","src","PNG","imagem","asset visual","não identificado","não identificado","não identificado","não identificada","","não identificado","hero","não identificado","hero","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; sem evidência; referenciado por src/ai/AIChat.jsx, src/App.css, src/components/Hero.jsx","src/components/Hero.jsx; src/components/landing/Hero.jsx; src/components/landing/HeroVideoSection.jsx; src/pages/Biblioteca/index.jsx","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/assets/react.svg","react.svg",".svg","4126","35ef61ed53b323ae94a16a8ec659b3d0af3880698791133f23b084085ab1c2e5","src","SVG","imagem","asset visual","não identificado","não identificado","não identificado","não identificada","2000","não identificado","react","não identificado","react","","0","0","0","0","0","","2000","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; sem evidência; referenciado por src/admin/AdminLayout.jsx, src/ai/AIChat.jsx, src/App.jsx","src/components/animata/container/AnnouncementRibbon.jsx; src/components/animata/text/Counter.jsx; src/components/AppUI.jsx; src/components/auth/AuthLayout.jsx","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/assets/vite.svg","vite.svg",".svg","8709","5be21acd42eb7b896e517f4e0f0f11eb5c5d9e54fbbcebe9453f033008fcca6f","src","SVG","imagem","asset visual","não identificado","não identificado","não identificado","não identificada","2000","não identificado","vite","não identificado","vite","","0","0","0","0","0","","2000","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; sem evidência; referenciado por src/admin/AdminLayout.jsx, src/ai/tutorPrompt.js, src/App.css","","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/charts/AppCharts.jsx","AppCharts.jsx",".jsx","5028","ae3ce27b21423993ca71156e81b40a5321c3fa336aba2c2be3eb9c39eca53522","src","JSX","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","não identificada","","não identificado","AppCharts","não identificado","AppCharts","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; sem evidência; referenciado por src/charts/index.js","","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
"src/charts/index.js","index.js",".js","152","5a5162db5c8df38d18b111520a226a5c1c54436556ffc0386c136077963625bc","src","JS","conteúdo não identificado","não identificado","não identificado","não identificado","não identificado","não identificada","","não identificado","index","não identificado","index","","0","0","0","0","0","","não identificada","conectado à plataforma; requer revisão humana","baixa","sem metadados suficientes; sem evidência; referenciado por src/ai/AIChat.jsx, src/App.css, src/charts/AppCharts.jsx","src/components/animata/container/Marquee.jsx; src/components/AprovaLoading.jsx; src/components/FAQ.jsx; src/components/HowItWorks.jsx; src/components/landing/Carousel3DSection.jsx","não identificada","","true","false","false","false","false","true","Revisar manualmente metadados, objetivo e uso na interface."
