"Nome do arquivo","Tipo de arquivo","Disciplina","Assunto","Tópicos do edital atendidos","Situação","Nível de cobertura","Atualização necessária","Problemas encontrados","Ação recomendada","Prioridade"
"src/data/apostilas/atualidades-avancada.js","apostila/módulo JS","Atualidades","Atualidades Avançada 10/10 Reescrita de Verdade","Conhecimentos Gerais > Atualidades","pronto para entrar na plataforma","alto","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/atualidades.js","apostila/módulo JS","Atualidades","Atualidades para PMMA","Conhecimentos Gerais > Atualidades","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/criminologia-seguranca-publica-avancada.js","apostila/módulo JS","Criminologia e Segurança Pública","Criminologia e Segurança Pública Avançada","Conhecimentos Específicos > Criminologia e Segurança Pública","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/criminologia-simulados-comentados.js","apostila/módulo JS","Criminologia e Segurança Pública","Criminologia — Simulados Comentados","Conhecimentos Específicos > Criminologia e Segurança Pública","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/ordem-publica-defesa-social-seguranca-cidada.js","apostila/módulo JS","Criminologia e Segurança Pública","Ordem Pública, Defesa Social e Segurança Cidadã","Conhecimentos Específicos > Criminologia e Segurança Pública","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/policia-comunitaria-mediacao-conflitos.js","apostila/módulo JS","Criminologia e Segurança Pública","Polícia Comunitária e Mediação de Conflitos","Conhecimentos Específicos > Criminologia e Segurança Pública","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/seguranca-publica-avancada-simulados.js","apostila/módulo JS","Criminologia e Segurança Pública","Segurança Pública Avançada — Simulados Comentados","Conhecimentos Específicos > Criminologia e Segurança Pública","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"material-provas/fgv/provas PM/oficial-da-policia-militarof-pm-tipo-1.pdf","PDF","Direito Administrativo","oficial-da-policia-militarof-pm-tipo-1","Conhecimentos Específicos > Direito Administrativo","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/oficial-da-policia-militarof-pm-tipo-2.pdf","PDF","Direito Administrativo","oficial-da-policia-militarof-pm-tipo-2","Conhecimentos Específicos > Direito Administrativo","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/oficial-da-policia-militarof-pm-tipo-3.pdf","PDF","Direito Administrativo","oficial-da-policia-militarof-pm-tipo-3","Conhecimentos Específicos > Direito Administrativo","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/oficial-da-policia-militarof-pm-tipo-4.pdf","PDF","Direito Administrativo","oficial-da-policia-militarof-pm-tipo-4","Conhecimentos Específicos > Direito Administrativo","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-1.pdf","PDF","Direito Administrativo","pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-1","Conhecimentos Específicos > Direito Administrativo","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-3.pdf","PDF","Direito Administrativo","pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-3","Conhecimentos Específicos > Direito Administrativo","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/direito-administrativo-avancado.js","apostila/módulo JS","Direito Administrativo","Direito Administrativo Avançado 10/10 Reescrito de Verdade","Conhecimentos Específicos > Direito Administrativo","pronto para entrar na plataforma","alto","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/direito-administrativo.js","apostila/módulo JS","Direito Administrativo","Direito Administrativo para PMMA","Conhecimentos Específicos > Direito Administrativo","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/oab-1fase-direito-administrativo.js","apostila/módulo JS","Direito Administrativo","OAB 1ª Fase — Direito Administrativo","Conhecimentos Específicos > Direito Administrativo","fora do edital","alto","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"material-provas/fgv/provas PM/ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_1.pdf","PDF","Direito Constitucional","ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_1","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_2.pdf","PDF","Direito Constitucional","ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_2","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
