"caminho","tipo","objetivo","disciplina","classificação","página","serviço","prioridade","esforço","risco"
"storage/content/leis/cdc/artigos.json","lei/legislação","","Direito do Consumidor","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cdc/meta.json","lei/legislação","","Direito do Consumidor","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cdc/texto.txt","lei/legislação","","Direito do Consumidor","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cf88/artigos.json","lei/legislação","","Direito Constitucional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cf88/meta.json","lei/legislação","","Direito Constitucional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cf88/texto.txt","lei/legislação","","Direito Constitucional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/clt/artigos.json","lei/legislação","","Direito do Trabalho","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/clt/meta.json","lei/legislação","","Direito do Trabalho","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/clt/texto.txt","lei/legislação","","Direito do Trabalho","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-civil/artigos.json","lei/legislação","","","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-civil/meta.json","lei/legislação","","Direito Civil","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-civil/texto.txt","lei/legislação","","","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-etica-oab/artigos.json","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-etica-oab/meta.json","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-etica-oab/texto.txt","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-penal/artigos.json","lei/legislação","","Direito Penal","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-penal/meta.json","lei/legislação","","Direito Penal","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/codigo-penal/texto.txt","lei/legislação","","Direito Penal","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cpc/artigos.json","lei/legislação","","Direito Processual Civil","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cpc/meta.json","lei/legislação","","Direito Processual Civil","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cpc/texto.txt","lei/legislação","","Direito Processual Civil","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cpp/artigos.json","lei/legislação","","Direito Processual Penal","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cpp/meta.json","lei/legislação","","Direito Processual Penal","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/cpp/texto.txt","lei/legislação","","Direito Processual Penal","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/ctn/artigos.json","lei/legislação","","Direito Tributário","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/ctn/meta.json","lei/legislação","","Direito Tributário","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/ctn/texto.txt","lei/legislação","","Direito Tributário","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/estatuto-oab/artigos.json","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/estatuto-oab/meta.json","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
