"hash","caminho","objetivo","disciplina","classificação"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-financeira-orcamentaria.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-publica-gestao-publica.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
"9c69ce8eea725c0042b2f05314306c01eaddded9db13fbf109b642e2cf8e1530","src/data/apostilas/administracao-publica-gestao-publica.js","Tribunais","Direito Administrativo","mesmo card em decks diferentes"
