"caminho","tipo","campo","trecho","objetivo","disciplina","aparece aluno","impacto","prioridade"
"src/data/apostilas/arquivologia.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","Concursos Administrativos","","sim","visível ao aluno","Alta"
"src/data/apostilas/atualidades-avancada.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","OAB","Atualidades","sim","visível ao aluno","Alta"
"src/data/apostilas/atualidades.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","","Atualidades","sim","visível ao aluno","Alta"
"src/data/apostilas/banco-repertorios-redacao.js","redação","metadados/texto extraído","[caractere ilegivel]","OAB","Redação","sim","visível ao aluno","Alta"
"src/data/apostilas/banco-temas-redacao-policial.js","redação","metadados/texto extraído","[caractere ilegivel]","OAB","Redação","sim","visível ao aluno","Alta"
"src/data/apostilas/ciencias-humanas-simulados.js","simulado","metadados/texto extraído","[caractere ilegivel]","ENEM","","sim","visível ao aluno","Alta"
"src/data/apostilas/ciencias-natureza-simulados.js","simulado","metadados/texto extraído","[caractere ilegivel]","ENEM","","sim","visível ao aluno","Alta"
"src/data/apostilas/contabilidade-publica-basica.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","Concursos Fiscais","","sim","visível ao aluno","Alta"
"src/data/apostilas/criminologia-simulados-comentados.js","simulado","metadados/texto extraído","[caractere ilegivel]","Guarda Municipal","Criminologia e Segurança Pública","sim","visível ao aluno","Alta"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","Tribunais","","sim","visível ao aluno","Alta"
"src/data/apostilas/ctb-simulados-comentados.js","simulado","metadados/texto extraído","[caractere ilegivel]","PRF","","sim","visível ao aluno","Alta"
"src/data/apostilas/direito-administrativo-avancado.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","OAB","Direito Administrativo","sim","visível ao aluno","Alta"
"src/data/apostilas/direito-administrativo.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","","Direito Administrativo","sim","visível ao aluno","Alta"
"src/data/apostilas/direito-ambiental.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","","Direito Ambiental","sim","visível ao aluno","Alta"
"src/data/apostilas/direito-civil.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","","Direito Civil","sim","visível ao aluno","Alta"
"src/data/apostilas/direito-constitucional.js","apostila/módulo","metadados/texto extraído","[caractere ilegivel]","","Direito Constitucional","sim","visível ao aluno","Alta"
