"caminho","formato","objetivo","disciplina","brutos","válidos","incompletos","únicos","duplicados","compartilhável","frente vazia","verso vazio","HTML","imagem","integração"
"src/data/apostilas/administracao-financeira-orcamentaria.js","JS","Tribunais","Direito Administrativo","140","140","0","61","79","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/administracao-publica-gestao-publica.js","JS","Tribunais","Direito Administrativo","140","140","0","61","79","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/arquivologia.js","JS","Tribunais","Direito Administrativo","140","140","0","61","79","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","JS","Tribunais","Direito Administrativo","140","140","0","61","79","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/atualidades-avancada.js","JS","OAB","Ética Profissional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/atualidades.js","JS","OAB","Ética Profissional","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/banco-repertorios-redacao.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/banco-temas-redacao-policial.js","JS","OAB","Direito Penal","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/biologia-enem.js","JS","ENEM","Ética Profissional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/caderno-erros-inteligente.js","JS","OAB","Ética Profissional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/ciencias-humanas-simulados.js","JS","ENEM","","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/ciencias-natureza-simulados.js","JS","ENEM","","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/comentarios-questoes-ia.js","JS","OAB","Ética Profissional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/contabilidade-publica-basica.js","JS","Tribunais","Direito Administrativo","140","140","0","61","79","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/criminologia-seguranca-publica-avancada.js","JS","OAB","Direito Constitucional","100","80","20","40","40","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/criminologia-simulados-comentados.js","JS","Polícia Militar","Direito Penal","140","140","0","61","79","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","JS","Polícia Civil","Direito Constitucional","100","80","20","40","40","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/ctb-simulados-comentados.js","JS","Polícia Militar","Direito Administrativo","140","140","0","61","79","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-administrativo-avancado.js","JS","OAB","Direito Administrativo","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-administrativo.js","JS","OAB","Direito Administrativo","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-ambiental-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-ambiental.js","JS","OAB","Direito Constitucional","80","60","20","21","39","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-civil-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-civil.js","JS","OAB","Direito Civil","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-constitucional-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-constitucional.js","JS","OAB","Direito Constitucional","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-consumidor-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-consumidor.js","JS","OAB","Direito Civil","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-digital-lgpd-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-digital-lgpd-crimes-ciberneticos.js","JS","OAB","Direito Constitucional","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-eleitoral-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-eleitoral.js","JS","OAB","Direito Constitucional","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-empresarial-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-empresarial.js","JS","OAB","Direito Civil","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-financeiro-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-financeiro.js","JS","OAB","Direito Constitucional","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-internacional-avancado.js","JS","OAB","Direito Constitucional","140","140","0","70","70","não","0","0","0","0","direct-ui-connection"
"src/data/apostilas/direito-internacional.js","JS","OAB","Direito Constitucional","80","60","20","30","30","não","0","20","0","0","direct-ui-connection"
"src/data/apostilas/direito-penal-militar-avancado.js","JS","Corpo de Bombeiros","Direito Penal","140","140","0","43","97","não","0","0","0","0","direct-ui-connection"
