"chave","instituição","concurso","cargo","ano","banca","tipo","fase","aplicação","variantes","prova principal","gabarito preliminar","gabarito definitivo","padrão resposta","questões extraídas","sem gabarito","gabarito sem prova"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/","Corpo de Bombeiros","militar","Soldado","2018","Cebraspe","objetiva","","normal","","storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/provas/cbmal-soldado-combatente-2018-cebraspe-prova.pdf","","storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/gabaritos/cbmal-soldado-combatente-2018-cebraspe-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/","Corpo de Bombeiros","militar","Soldado","2021","FGV","objetiva","","normal","","storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/provas/cbmam-soldado-bombeiro-militar-2021-fgv-prova.pdf","","storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/gabaritos/cbmam-soldado-bombeiro-militar-2021-fgv-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pm-ba-soldado-2023-fcc/","Polícia Militar","militar","Soldado","2023","FCC","objetiva","","normal","","storage/content/militar/pm-ba-soldado-2023-fcc/provas/pm-ba-soldado-2023-fcc-prova.pdf","","storage/content/militar/pm-ba-soldado-2023-fcc/gabaritos/pm-ba-soldado-2023-fcc-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/","Polícia Militar","militar","Soldado","2023","IBFC","objetiva","","normal","","storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/provas/pm-pb-soldado-pm-combatente-2023-ibfc-prova.pdf","","storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/gabaritos/pm-pb-soldado-pm-combatente-2023-ibfc-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/","Polícia Militar","militar","Soldado","2025","","objetiva","","normal","","storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/provas/pm-se-soldado-pm-3a-classe-combatente-2025-selecon-prova.pdf","","storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/gabaritos/pm-se-soldado-pm-3a-classe-combatente-2025-selecon-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/","Polícia Militar","militar","Soldado","2018","Cebraspe","objetiva","","normal","","storage/content/militar/pmal-soldado-combatente-2018-cebraspe/provas/pmal-soldado-combatente-2018-cebraspe-prova.pdf","","storage/content/militar/pmal-soldado-combatente-2018-cebraspe/gabaritos/pmal-soldado-combatente-2018-cebraspe-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/","Polícia Militar","militar","Soldado","2017","Cebraspe","objetiva","","normal","","storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/provas/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-prova.pdf","","storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/gabaritos/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/","Polícia Militar","militar","Soldado","2017","","objetiva","","normal","","storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/provas/pmpi-soldado-pm-2017-nucepe-uespi-prova.pdf","","storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/gabaritos/pmpi-soldado-pm-2017-nucepe-uespi-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/","Polícia Militar","militar","Cabo","2022","FGV","objetiva","","normal","","storage/content/militar/pmsp-cabo-pm-2022-fgv/provas/pmsp-cabo-pm-2022-fgv-prova.pdf","","storage/content/militar/pmsp-cabo-pm-2022-fgv/gabaritos/pmsp-cabo-pm-2022-fgv-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmsp-soldado-2017-vunesp/","Polícia Militar","militar","Soldado","2017","Vunesp","objetiva","","normal","","storage/content/militar/pmsp-soldado-2017-vunesp/provas/pmsp-soldado-2017-vunesp-prova.pdf","","storage/content/militar/pmsp-soldado-2017-vunesp/gabaritos/pmsp-soldado-2017-vunesp-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmsp-soldado-2023-vunesp/","Polícia Militar","militar","Soldado","2023","Vunesp","objetiva","","normal","","storage/content/militar/pmsp-soldado-2023-vunesp/provas/pmsp-soldado-2023-vunesp-prova.pdf","","storage/content/militar/pmsp-soldado-2023-vunesp/gabaritos/pmsp-soldado-2023-vunesp-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmsp-soldado-2024-fgv/","Polícia Militar","militar","Soldado","2024","FGV","objetiva","","normal","","storage/content/militar/pmsp-soldado-2024-fgv/provas/pmsp-soldado-2024-fgv-prova.pdf","","storage/content/militar/pmsp-soldado-2024-fgv/gabaritos/pmsp-soldado-2024-fgv-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmsp-soldado-2025-fgv/","Polícia Militar","militar","Soldado","2025","FGV","objetiva","","normal","","storage/content/militar/pmsp-soldado-2025-fgv/provas/pmsp-soldado-2025-fgv-prova.pdf","","storage/content/militar/pmsp-soldado-2025-fgv/gabaritos/pmsp-soldado-2025-fgv-gabarito-definitivo.pdf","","não","não","não"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/","Polícia Militar","militar","","2025","FGV","objetiva","","normal","","storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/provas/pmto-quadro-de-pracas-da-policia-militar-2025-fgv-prova.pdf","","storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/gabaritos/pmto-quadro-de-pracas-da-policia-militar-2025-fgv-gabarito-definitivo.pdf","","não","não","não"
"storage/content/oab/15-exame/","OAB","oab","","","","objetiva","","normal","","storage/content/oab/15-exame/provas/caderno-de-provas-direito-administrativo-19vvnu.pdf","","","","não","sim","não"
