"path","fileClass","contentType","isPedagogicalContent","extractionStatus","objectiveCanonical","institution","contestCanonical","position","banca","year","disciplineCanonical","subjectCanonical","interfaceConnection","hash","size","classificationConfidence","classificationEvidence"
"src/data/apostilas/administracao-financeira-orcamentaria.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","Concursos Fiscais","","","","","2026","","orçamento como lei, plano financeiro e instrumento de controle democrático","direct-ui-connection","3e920926ecbccee0cef2400133807a2673a4cccc194d5aee67dcc8872239ec2e","201372","alta","pedagogical-content; apostila/módulo; área fiscal; sem disciplina confiável"
"src/data/apostilas/administracao-publica-gestao-publica.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","","","2026","Direito Administrativo","diferença entre Estado, governo e Administração, separando função política de execução administrativa","direct-ui-connection","e50787241be711ef59e61c36c7a8645e95ebe8c1b9563b6ddbb9f446ba036548","213908","alta","pedagogical-content; apostila/módulo; sem evidência confiável; diretório/estrutura"
"src/data/apostilas/arquivologia.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","Concursos Administrativos","","","","","2026","","arquivo como conjunto org[caractere ilegivel]nico de documentos produzidos por atividade institucional","direct-ui-connection","63683ef5f482f632c8d7abe858b45858fe06a57ea2666ff43587672e696133fb","198447","alta","pedagogical-content; apostila/módulo; área administrativa; sem disciplina confiável"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","","","2026","","atendimento como expressão concreta de cidadania, eficiência e respeito","direct-ui-connection","bd3c9980e8a481f774f875336d3b27fd61688078ab9a0f25e5e482bdd149c04e","201655","alta","pedagogical-content; apostila/módulo; sem evidência confiável; sem disciplina confiável"
"src/data/apostilas/atualidades-avancada.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Atualidades","leitura cr[caractere ilegivel]tica de fatos","direct-ui-connection","7f02e269e69967757f985e3e87561d5ee9e255c868e6c50d105649d9d73bc204","120919","alta","pedagogical-content; apostila/módulo; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/atualidades.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","Soldado","","2026","Atualidades","M[caractere ilegivel]todo de estudo","direct-ui-connection","cfd238277511543068087f9fd8c0a4c2832e1cb31e9f4ae90cb542aca5b7f0b8","492552","alta","pedagogical-content; apostila/módulo; sem evidência confiável; diretório/estrutura"
"src/data/apostilas/banco-repertorios-redacao.js","pedagogical-content","redação","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Redação","Constitui[caractere ilegivel][caractere ilegivel]o, cidadania e dignidade humana","direct-ui-connection","25c32c8a56ee48aa81d558e95ad75ae4faa675d2ef3cc287be679e08d02a3d11","228143","alta","pedagogical-content; redação; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/banco-temas-redacao-policial.js","pedagogical-content","redação","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Redação","Viol[caractere ilegivel]ncia urbana, preven[caractere ilegivel][caractere ilegivel]o e responsabilidade compartilhada","direct-ui-connection","a835f8a37877c51009dfa363f43485d7e56fda18f01a532bb8c7ab16e4eccbda","243473","alta","pedagogical-content; redação; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/biologia-enem.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","ENEM","INEP","","","","2026","Biologia","Citologia, membranas e metabolismo celular","direct-ui-connection","6277ac6251678fbd60b43ad3a584530caa3aedb816290748fece2c19116a3faf","173868","alta","pedagogical-content; apostila/módulo; diretório/metadado ENEM; diretório/estrutura"
"src/data/apostilas/caderno-erros-inteligente.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","","Erro conceitual, erro de atenção e erro de estratégia","direct-ui-connection","d193741dda77abe02ccb952fb198825ec7bbe54c2b90adbe985fb7334595515a","218042","alta","pedagogical-content; apostila/módulo; diretório/metadado OAB; sem disciplina confiável"
"src/data/apostilas/ciencias-humanas-simulados.js","pedagogical-content","simulado","true","leitura bem-sucedida","ENEM","INEP","","","","2026","","Simulado 1: fontes hist[caractere ilegivel]ricas e cartografia","direct-ui-connection","c6b46dc77261dc412a9a91bbce2a831a3bc0db15e33dd2ada4a75bfea3757516","175967","alta","pedagogical-content; simulado; diretório/metadado ENEM; sem disciplina confiável"
"src/data/apostilas/ciencias-natureza-simulados.js","pedagogical-content","simulado","true","leitura bem-sucedida","ENEM","INEP","","","","2026","","Simulado 1: m[caractere ilegivel]todo cient[caractere ilegivel]fico e gr[caractere ilegivel]ficos","direct-ui-connection","5d4f570ed9cd8dc2dbd146708df856a683e735af55f52a1cfbf7a8a4d6c287d2","177303","alta","pedagogical-content; simulado; diretório/metadado ENEM; sem disciplina confiável"
"src/data/apostilas/comentarios-questoes-ia.js","pedagogical-content","banco de questões","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","","O que um comentário de IA precisa ter","direct-ui-connection","cb41deabf7edd1585b3a4137b91e442de3649ac4fe7699fc721f7e03ead9c781","210059","alta","pedagogical-content; banco de questões; diretório/metadado OAB; sem disciplina confiável"
"src/data/apostilas/contabilidade-publica-basica.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","Concursos Fiscais","","","","","2026","","registro, evidencia[caractere ilegivel][caractere ilegivel]o e controle do patrim[caractere ilegivel]nio p[caractere ilegivel]blico e atos relevantes","direct-ui-connection","108b6ff63c01b359bc63f304d6c56e97d5660493d2ec13f3ff6a75d71be822b4","202774","alta","pedagogical-content; apostila/módulo; área fiscal; sem disciplina confiável"
"src/data/apostilas/criminologia-seguranca-publica-avancada.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","Tribunais","","","","","1988","Criminologia e Segurança Pública","Fundamentos da Criminologia","direct-ui-connection","8deb071a9ba5d3c5889174cbc9ebd4638b0a14f044f841d331d7f3269610ba33","313648","alta","pedagogical-content; apostila/módulo; termos de tribunais; diretório/estrutura"
"src/data/apostilas/criminologia-simulados-comentados.js","pedagogical-content","simulado","true","leitura bem-sucedida","Guarda Municipal","","","","","2026","Criminologia e Segurança Pública","criminologia estuda crime, criminoso, v[caractere ilegivel]tima e controle social com m[caractere ilegivel]todo emp[caractere ilegivel]rico e interdisciplinar","direct-ui-connection","0186b8b9a732f06a5777efed58e2daafdfa77d14780dbeb1c0b45b7889a23597","179720","alta","pedagogical-content; simulado; nome/sigla GM; diretório/estrutura"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","Tribunais","","","","","1997","","Sistema Nacional de Tr[caractere ilegivel]nsito","direct-ui-connection","294e98e6d4d6ea2d926b207200679af99dc5eb539090ebfd6f262a7edcbf1b33","238969","alta","pedagogical-content; apostila/módulo; termos de tribunais; sem disciplina confiável"
"src/data/apostilas/ctb-simulados-comentados.js","pedagogical-content","simulado","true","leitura bem-sucedida","PRF","PRF","","","","2026","","[caractere ilegivel]rg[caractere ilegivel]os de tr[caractere ilegivel]nsito possuem compet[caractere ilegivel]ncias espec[caractere ilegivel]ficas de normatiza[caractere ilegivel][caractere ilegivel]o, fiscaliza[caractere ilegivel][caractere ilegivel]o, julgamento e educa[caractere ilegivel][caractere ilegivel]o","direct-ui-connection","4aea5ed43db8a1bcb0d1f70eb1210b815d4e2a91a55fa68a5a7c4f7391f881a6","176606","alta","pedagogical-content; simulado; sigla PRF; sem disciplina confiável"
"src/data/apostilas/direito-administrativo-avancado.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Direito Administrativo","l[caractere ilegivel]gica da Administra[caractere ilegivel][caractere ilegivel]o P[caractere ilegivel]blica","direct-ui-connection","a4769572cd6a445a91966d1baf1143e2f023c3cbf9e37e1a680dd12ffcecafae","129819","alta","pedagogical-content; apostila/módulo; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/direito-administrativo.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","Soldado","","2026","Direito Administrativo","Organiza[caractere ilegivel][caractere ilegivel]o administrativa","direct-ui-connection","f524c3b4078eb32c39ccf4bdfbc84bcdf045ae9ff41f4234ae864cb1fc858aef","493215","alta","pedagogical-content; apostila/módulo; sem evidência confiável; diretório/estrutura"
"src/data/apostilas/direito-ambiental-avancado.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Direito Ambiental","Meio ambiente e princípios ambientais","direct-ui-connection","68a7a5418abd667792d90f4edf9076105a9608e8c7ae29a9114c58a4d6380ea8","143402","alta","pedagogical-content; apostila/módulo; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/direito-ambiental.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","","","1988","Direito Ambiental","Meio ambiente na Constitui[caractere ilegivel][caractere ilegivel]o e princ[caractere ilegivel]pios ambientais","direct-ui-connection","f8925b46b6129044b5f9558aa270fdbe84ac045d6647199896f4a8758d2fcdd8","226184","alta","pedagogical-content; apostila/módulo; sem evidência confiável; diretório/estrutura"
"src/data/apostilas/direito-civil-avancado.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Direito Civil","Pessoa natural, personalidade, capacidade e direitos da personalidade","direct-ui-connection","73fb4c375946dc15cb15dfb6454ed14361cc0a345b0c3231ee56079e26db4d4b","159332","alta","pedagogical-content; apostila/módulo; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/direito-civil.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","","","2026","Direito Civil","Lei de Introdu[caractere ilegivel][caractere ilegivel]o [caractere ilegivel]s Normas do Direito Brasileiro","direct-ui-connection","4d5fd30d21b7ece0241cddeb4e9c00c5c314d8429798535252e430844eb37114","490993","alta","pedagogical-content; apostila/módulo; sem evidência confiável; diretório/estrutura"
