"caminho","tipo","objetivo","disciplina","assunto","onda","mvp","acao","prioridade"
"storage/content/leis/codigo-etica-oab/artigos.json","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/codigo-etica-oab/meta.json","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/codigo-etica-oab/texto.txt","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/estatuto-oab/artigos.json","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/estatuto-oab/meta.json","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/estatuto-oab/texto.txt","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/regulamento-oab/artigos.json","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/regulamento-oab/meta.json","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/leis/regulamento-oab/texto.txt","lei/legislação","OAB","Ética Profissional","","onda 1 ou 2","sim","planejar importacao/conexao","Urgente"
"storage/content/militar/pcam-delegado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Direito Constitucional","","onda 1 ou 2","avaliar","planejar importacao/conexao","Alta"
"storage/content/militar/pcrj-inspetor-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Língua Portuguesa","","onda 1 ou 2","avaliar","planejar importacao/conexao","Alta"
"storage/content/militar/pcrj-investigador-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Língua Portuguesa","","onda 1 ou 2","avaliar","planejar importacao/conexao","Alta"
"storage/content/militar/pcrn-delegado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Direito Constitucional","","onda 1 ou 2","avaliar","planejar importacao/conexao","Alta"
"storage/content/militar/pcsc-delegado-2024-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Língua Portuguesa","","onda 1 ou 2","avaliar","planejar importacao/conexao","Alta"
"storage/content/militar/pm-ba-soldado-2023-fcc/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmac-oficial-combatente-2023-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmam-oficial-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmam-soldado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmce-soldado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmerj-cfo-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmesp-cabo-2022-fgv-local/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmesp-sargento-2024-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/gabaritos/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","Legislação Institucional PMMA","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/metadata.json","container pedagógico","Polícia Militar","Legislação Institucional PMMA","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/provas/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-prova.pdf","prova PDF","Polícia Militar","Legislação Institucional PMMA","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Legislação Institucional PMMA","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmpb-cfo-2022-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmsp-soldado-2017-vunesp/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmsp-soldado-2023-vunesp/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmsp-soldado-2024-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmsp-soldado-2025-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-administrativo-19vvnu.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-constitucional-15wc24.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-empresarial-1yw2i4.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-penal-1f7tn6.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-tributario-uumxfr.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-administrativo-edxrv4.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-constitucional-rawx81.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-empresarial-st7h0d.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-penal-1n7nnc.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-tributario-1lodof.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/16-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","16o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/17-exame/provas/caderno-de-provas-direito-administrativo-p4q5jm.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/17-exame/provas/caderno-de-provas-direito-constitucional-aoi9pq.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/17-exame/provas/caderno-de-provas-direito-empresarial-vxp9dg.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
