"canonicalId","concursoEdicao","objetivo","instituicao","conteudos","confidence","requiresReview"
"contest:20-exame","20-exame","OAB","OAB/FGV","25","media","sim"
"contest:25-exame","25-exame","OAB","OAB/FGV","20","media","sim"
"contest:2010-2-exame","2010-2-exame","OAB","OAB/FGV","16","media","sim"
"contest:17-exame","17-exame","OAB","OAB/FGV","15","media","sim"
"contest:16-exame","16-exame","OAB","OAB/FGV","14","media","sim"
"contest:35-exame","35-exame","OAB","OAB/FGV","14","media","sim"
"contest:36-exame","36-exame","OAB","OAB/FGV","14","media","sim"
"contest:37-exame","37-exame","OAB","OAB/FGV","14","media","sim"
"contest:38-exame","38-exame","OAB","OAB/FGV","14","media","sim"
"contest:39-exame","39-exame","OAB","OAB/FGV","14","media","sim"
"contest:40-exame","40-exame","OAB","OAB/FGV","14","media","sim"
"contest:42-exame","42-exame","OAB","OAB/FGV","14","media","sim"
"contest:43-exame","43-exame","OAB","OAB/FGV","14","media","sim"
"contest:44-exame","44-exame","OAB","OAB/FGV","14","media","sim"
"contest:45-exame","45-exame","OAB","OAB/FGV","14","media","sim"
"contest:18-exame","18-exame","OAB","OAB/FGV","13","media","sim"
"contest:19-exame","19-exame","OAB","OAB/FGV","13","media","sim"
"contest:21-exame","21-exame","OAB","OAB/FGV","13","media","sim"
"contest:22-exame","22-exame","OAB","OAB/FGV","13","media","sim"
"contest:23-exame","23-exame","OAB","OAB/FGV","13","media","sim"
"contest:24-exame","24-exame","OAB","OAB/FGV","13","media","sim"
"contest:26-exame","26-exame","OAB","OAB/FGV","13","media","sim"
"contest:27-exame","27-exame","OAB","OAB/FGV","13","media","sim"
"contest:28-exame","28-exame","OAB","OAB/FGV","13","media","sim"
"contest:29-exame","29-exame","OAB","OAB/FGV","13","media","sim"
"contest:30-exame","30-exame","OAB","OAB/FGV","13","media","sim"
"contest:31-exame","31-exame","OAB","OAB/FGV","13","media","sim"
"contest:32-exame","32-exame","OAB","OAB/FGV","13","media","sim"
"contest:33-exame","33-exame","OAB","OAB/FGV","13","media","sim"
"contest:34-exame","34-exame","OAB","OAB/FGV","13","media","sim"
"contest:41-exame","41-exame","OAB","OAB/FGV","13","media","sim"
"contest:15-exame","15-exame","OAB","OAB/FGV","7","media","sim"
"contest:46-exame","46-exame","OAB","OAB/FGV","7","media","sim"
"contest:7-exame","7-exame","OAB","OAB/FGV","6","media","sim"
"contest:pm-pmce2021","PM pmce2021","Polícia Militar","PMCE","5","media","sim"
"contest:pm-pmerj2021","PM pmerj2021","Polícia Militar","PMERJ","5","media","sim"
"contest:cbmal-soldado-combatente-2018-cebraspe","cbmal-soldado-combatente-2018-cebraspe","Corpo de Bombeiros","CBMAL","3","media","sim"
"contest:cbmam-soldado-bombeiro-militar-2021-fgv","cbmam-soldado-bombeiro-militar-2021-fgv","Corpo de Bombeiros","CBMAM","3","media","sim"
"contest:cdc","cdc","","","3","media","sim"
"contest:cf88","cf88","","","3","media","sim"
"contest:clt","clt","","","3","media","sim"
"contest:codigo-civil","codigo-civil","","","3","media","sim"
"contest:codigo-etica-oab","codigo-etica-oab","OAB","OAB/FGV","3","media","sim"
"contest:codigo-penal","codigo-penal","","","3","media","sim"
"contest:cpc","cpc","","","3","media","sim"
"contest:cpp","cpp","","","3","media","sim"
"contest:ctn","ctn","","","3","media","sim"
"contest:estatuto-oab","estatuto-oab","OAB","OAB/FGV","3","media","sim"
"contest:pm-ba-soldado-2023-fcc","pm-ba-soldado-2023-fcc","Polícia Militar","","3","media","sim"
"contest:pm-pb-soldado-pm-combatente-2023-ibfc","pm-pb-soldado-pm-combatente-2023-ibfc","Polícia Militar","","3","media","sim"
"contest:pm-se-soldado-pm-3a-classe-combatente-2025-selecon","pm-se-soldado-pm-3a-classe-combatente-2025-selecon","Polícia Militar","","3","media","sim"
"contest:pmal-soldado-combatente-2018-cebraspe","pmal-soldado-combatente-2018-cebraspe","Polícia Militar","PMAL","3","media","sim"
"contest:pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe","pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe","Polícia Militar","PMMA","3","media","sim"
"contest:pmpi-soldado-pm-2017-nucepe-uespi","pmpi-soldado-pm-2017-nucepe-uespi","Polícia Militar","","3","media","sim"
"contest:pmsp-cabo-pm-2022-fgv","pmsp-cabo-pm-2022-fgv","Polícia Militar","PMSP","3","media","sim"
"contest:pmsp-soldado-2017-vunesp","pmsp-soldado-2017-vunesp","Polícia Militar","PMSP","3","media","sim"
"contest:pmsp-soldado-2023-vunesp","pmsp-soldado-2023-vunesp","Polícia Militar","PMSP","3","media","sim"
