"discipline_raw","discipline_canonical","categoria","mapping_status","confidence","requires_review","conteudos","aliases"
"Direito Penal","Direito Penal","disciplina canonica","preservar classificacao original","media","sim","45",""
"Direito Constitucional","Direito Constitucional","disciplina canonica","preservar classificacao original","media","sim","43",""
"Ética Profissional","Ética Profissional","disciplina canonica","preservar classificacao original","media","sim","42",""
"Direito Administrativo","Direito Administrativo","disciplina canonica","preservar classificacao original","media","sim","40",""
"Direito Tributário","Direito Tributário","disciplina canonica","preservar classificacao original","media","sim","39",""
"Direito Empresarial","Direito Empresarial","disciplina canonica","preservar classificacao original","media","sim","36",""
"Língua Portuguesa","Língua Portuguesa","disciplina canonica","preservar classificacao original","media","sim","21",""
"Legislação Institucional PMMA","Legislação Institucional PMMA","legislacao institucional especifica","preservar classificacao original","media","sim","14",""
"Redação","Redação","disciplina canonica","preservar classificacao original","media","sim","11",""
"Direito Penal Militar","Direito Penal Militar","disciplina canonica","preservar classificacao original","baixa","sim","7",""
"Direito do Trabalho","Direito do Trabalho","disciplina canonica","preservar classificacao original","baixa","sim","6",""
"Direito Processual Civil","Direito Processual Civil","disciplina canonica","preservar classificacao original","baixa","sim","6",""
"Direito Processual Penal","Direito Processual Penal","disciplina canonica","preservar classificacao original","baixa","sim","6",""
"Direito do Consumidor","Direito do Consumidor","disciplina canonica","preservar classificacao original","baixa","sim","5",""
"Direito Civil","Direito Civil","disciplina canonica","preservar classificacao original","baixa","sim","4",""
"Raciocínio Lógico-Matemático","Raciocínio Lógico-Matemático","disciplina canonica","preservar classificacao original","baixa","sim","4",""
"Criminologia e Segurança Pública","Criminologia e Segurança Pública","area/disciplina candidata","preservar classificacao original","baixa","sim","3",""
"Direitos Humanos","Direitos Humanos","disciplina canonica","preservar classificacao original","baixa","sim","3",""
"Atualidades","Atualidades","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Direito Ambiental","Direito Ambiental","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Direito Eleitoral","Direito Eleitoral","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Direito Financeiro","Direito Financeiro","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Direito Internacional","Direito Internacional","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Direito Previdenciário","Direito Previdenciário","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Direito Processual Penal Militar","Direito Processual Penal Militar","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Filosofia","Filosofia","area/disciplina candidata","preservar classificacao original","baixa","sim","2",""
"Informática","Informática","disciplina canonica","preservar classificacao original","baixa","sim","2",""
"Biologia","Biologia","disciplina canonica","preservar classificacao original","baixa","sim","1",""
"Direito Digital/LGPD","Direito Digital/LGPD","disciplina canonica","preservar classificacao original","baixa","sim","1",""
"Física","Física","disciplina canonica","preservar classificacao original","baixa","sim","1",""
"Geografia","Geografia","disciplina canonica","preservar classificacao original","baixa","sim","1",""
"História","História","disciplina canonica","preservar classificacao original","baixa","sim","1",""
"Química","Química","disciplina canonica","preservar classificacao original","baixa","sim","1",""
"Sociologia","Sociologia","disciplina canonica","preservar classificacao original","baixa","sim","1",""
