"fonte","formato","total","validos","unicos","duplicados","objetivo","disciplina","acao"
"src/data/apostilas/administracao-financeira-orcamentaria.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/administracao-publica-gestao-publica.js","","70","70","61","9","","Direito Administrativo","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/arquivologia.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/atualidades-avancada.js","","70","70","70","0","","Atualidades","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/atualidades.js","","40","30","40","0","","Atualidades","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/banco-repertorios-redacao.js","","70","70","70","0","","Redação","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/banco-temas-redacao-policial.js","","70","70","70","0","","Redação","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/biologia-enem.js","","70","70","70","0","","Biologia","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/caderno-erros-inteligente.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/ciencias-humanas-simulados.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/ciencias-natureza-simulados.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/comentarios-questoes-ia.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/contabilidade-publica-basica.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/criminologia-seguranca-publica-avancada.js","","50","40","50","0","","Criminologia e Segurança Pública","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/criminologia-simulados-comentados.js","","70","70","61","9","","Criminologia e Segurança Pública","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","","50","40","50","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/ctb-simulados-comentados.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-administrativo-avancado.js","","70","70","70","0","","Direito Administrativo","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-administrativo.js","","40","30","40","0","","Direito Administrativo","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-ambiental-avancado.js","","70","70","70","0","","Direito Ambiental","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-ambiental.js","","40","30","31","0","","Direito Ambiental","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-civil-avancado.js","","70","70","70","0","","Direito Civil","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-civil.js","","40","30","40","0","","Direito Civil","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-constitucional-avancado.js","","70","70","70","0","","Direito Constitucional","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-constitucional.js","","40","30","40","0","","Direito Constitucional","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-consumidor-avancado.js","","70","70","70","0","","Direito do Consumidor","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-consumidor.js","","40","30","40","0","","Direito do Consumidor","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-digital-lgpd-avancado.js","","70","70","70","0","","Direito Digital/LGPD","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-digital-lgpd-crimes-ciberneticos.js","","40","30","40","0","","Direito Penal","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-eleitoral-avancado.js","","70","70","70","0","","Direito Eleitoral","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-eleitoral.js","","40","30","40","0","","Direito Eleitoral","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-empresarial-avancado.js","","70","70","70","0","","Direito Empresarial","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-empresarial.js","","40","30","40","0","","Direito Empresarial","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-financeiro-avancado.js","","70","70","70","0","","Direito Financeiro","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-financeiro.js","","40","30","40","0","","Direito Financeiro","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-internacional-avancado.js","","70","70","70","0","","Direito Internacional","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-internacional.js","","40","30","40","0","","Direito Internacional","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-penal-militar-avancado.js","","70","70","43","27","","Direito Penal Militar","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-penal-militar.js","","40","30","40","0","","Direito Penal Militar","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-penal-parte-especial-avancado.js","","70","70","43","27","","Direito Penal","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-penal-parte-geral-avancado.js","","70","70","70","0","","Direito Penal","deduplicar por politica, sem exclusao automatica"
