"id","nome","arquivos","artigos","texto","meta","integridade","quarentena","acao"
"cdc","Codigo de Defesa do Consumidor","storage/content/leis/cdc/artigos.json; storage/content/leis/cdc/meta.json; storage/content/leis/cdc/texto.txt","","true","true","parcial","sim: CDC x CTN","bloquear texto.txt suspeito e buscar fonte oficial"
"cf88","Constituicao Federal de 1988","storage/content/leis/cf88/artigos.json; storage/content/leis/cf88/meta.json; storage/content/leis/cf88/texto.txt","409","true","true","completa por arquivos","nao","validar versao oficial antes de publicar"
"clt","Consolidacao das Leis do Trabalho","storage/content/leis/clt/artigos.json; storage/content/leis/clt/meta.json; storage/content/leis/clt/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
"codigo-civil","Codigo Civil","storage/content/leis/codigo-civil/artigos.json; storage/content/leis/codigo-civil/meta.json; storage/content/leis/codigo-civil/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
"codigo-etica-oab","Codigo de Etica e Disciplina da OAB","storage/content/leis/codigo-etica-oab/artigos.json; storage/content/leis/codigo-etica-oab/meta.json; storage/content/leis/codigo-etica-oab/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
"codigo-penal","Codigo Penal","storage/content/leis/codigo-penal/artigos.json; storage/content/leis/codigo-penal/meta.json; storage/content/leis/codigo-penal/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
"cpc","Codigo de Processo Civil","storage/content/leis/cpc/artigos.json; storage/content/leis/cpc/meta.json; storage/content/leis/cpc/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
"cpp","Codigo de Processo Penal","storage/content/leis/cpp/artigos.json; storage/content/leis/cpp/meta.json; storage/content/leis/cpp/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
"ctn","Codigo Tributario Nacional","storage/content/leis/ctn/artigos.json; storage/content/leis/ctn/meta.json; storage/content/leis/ctn/texto.txt","","true","true","parcial","sim: CDC x CTN","bloquear texto.txt suspeito e buscar fonte oficial"
"estatuto-oab","Estatuto da OAB (Lei 8.906/94)","storage/content/leis/estatuto-oab/artigos.json; storage/content/leis/estatuto-oab/meta.json; storage/content/leis/estatuto-oab/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
"regulamento-oab","Regulamento Geral da OAB","storage/content/leis/regulamento-oab/artigos.json; storage/content/leis/regulamento-oab/meta.json; storage/content/leis/regulamento-oab/texto.txt","","true","true","parcial","nao","validar versao oficial antes de publicar"
