"fonte","formato","total","unicos","disciplina","statusContrato","acao"
"src/data/apostilas/atualidades.js","","40","40","Atualidades","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-administrativo.js","","40","40","Direito Administrativo","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-civil.js","","40","40","Direito Civil","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-constitucional.js","","40","40","Direito Constitucional","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-consumidor.js","","30","30","Direito do Consumidor","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-empresarial.js","","30","30","Direito Empresarial","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-financeiro.js","","30","30","Direito Financeiro","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-penal-militar.js","","40","40","Direito Penal Militar","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-penal-parte-geral.js","","40","40","Direito Penal","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-previdenciario.js","","30","30","Direito Previdenciário","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-processual-civil.js","","40","40","Direito Processual Civil","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-processual-penal-militar.js","","40","40","Direito Processual Penal Militar","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-processual-penal.js","","40","40","Direito Processual Penal","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-processual-trabalho.js","","30","30","","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-trabalho.js","","30","30","Direito do Trabalho","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direito-tributario.js","","30","30","Direito Tributário","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/direitos-humanos.js","","40","40","Direitos Humanos","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/eca.js","","30","30","","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/etica-profissional-oab.js","","30","30","","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/etica.js","","40","40","","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/informatica.js","","40","40","Informática","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/legislacao-institucional-pmma.js","","40","40","Legislação Institucional PMMA","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/legislacao-penal-especial.js","","40","40","Direito Penal","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/matematica-basica.js","","40","40","Raciocínio Lógico-Matemático","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/portugues-pmma-interpretacao.js","","40","40","Legislação Institucional PMMA","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/portugues-pmma-ortografia-morfologia.js","","40","40","Legislação Institucional PMMA","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/portugues-pmma-sintaxe.js","","40","40","Legislação Institucional PMMA","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/raciocinio-logico.js","","40","40","Raciocínio Lógico-Matemático","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/redacao.js","","40","40","Redação","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
"src/data/apostilas/taf.js","","40","40","","V2 conta unidade pedagogica; V2.1 superconta nos/blocos","classificar containers/mapas/nos antes de migrar"
