"chaveLogica","provaPrincipal","gabaritos","variantes","questoesExtraidas","quarentena","acao"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/","storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/provas/cbmal-soldado-combatente-2018-cebraspe-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/","storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/provas/cbmam-soldado-bombeiro-militar-2021-fgv-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pm-ba-soldado-2023-fcc/","storage/content/militar/pm-ba-soldado-2023-fcc/provas/pm-ba-soldado-2023-fcc-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/","storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/provas/pm-pb-soldado-pm-combatente-2023-ibfc-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/","storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/provas/pm-se-soldado-pm-3a-classe-combatente-2025-selecon-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/","storage/content/militar/pmal-soldado-combatente-2018-cebraspe/provas/pmal-soldado-combatente-2018-cebraspe-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/","storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/provas/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/","storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/provas/pmpi-soldado-pm-2017-nucepe-uespi-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/","storage/content/militar/pmsp-cabo-pm-2022-fgv/provas/pmsp-cabo-pm-2022-fgv-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/militar/pmsp-soldado-2017-vunesp/","storage/content/militar/pmsp-soldado-2017-vunesp/provas/pmsp-soldado-2017-vunesp-prova.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
