"fonte","total","validos","unicos","duplicados","objetivo","disciplina","statusContrato","acao"
"src/data/apostilas/administracao-financeira-orcamentaria.js","60","0","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/administracao-publica-gestao-publica.js","60","0","33","0","","Direito Administrativo","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/arquivologia.js","60","0","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","60","0","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/atualidades-avancada.js","130","20","94","0","","Atualidades","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/atualidades.js","70","20","70","0","","Atualidades","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/banco-repertorios-redacao.js","100","20","82","0","","Redação","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/banco-temas-redacao-policial.js","100","21","82","0","","Redação","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/biologia-enem.js","100","10","82","0","","Biologia","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/caderno-erros-inteligente.js","100","21","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/ciencias-humanas-simulados.js","100","10","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/ciencias-natureza-simulados.js","100","10","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/comentarios-questoes-ia.js","100","21","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/contabilidade-publica-basica.js","60","1","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/criminologia-seguranca-publica-avancada.js","80","30","71","0","","Criminologia e Segurança Pública","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/criminologia-simulados-comentados.js","70","1","43","0","","Criminologia e Segurança Pública","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","50","0","50","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/ctb-simulados-comentados.js","70","0","43","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-administrativo-avancado.js","130","20","94","0","","Direito Administrativo","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-administrativo.js","70","20","70","0","","Direito Administrativo","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-ambiental-avancado.js","130","30","112","0","","Direito Ambiental","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-ambiental.js","60","20","60","0","","Direito Ambiental","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-civil-avancado.js","130","30","112","0","","Direito Civil","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
